./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: trigger has 1 NLOC, 52 CCN, 652 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: zb has 1 NLOC, 16 CCN, 196 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: Ab has 1 NLOC, 25 CCN, 346 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: z has 1 NLOC, 25 CCN, 368 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:4: warning: ajax has 1 NLOC, 52 CCN, 929 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3514 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:175: warning: jQuery.fn.extend has 43 NLOC, 21 CCN, 271 token, 0 PARAM, 68 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:738: warning: Sizzle has 83 NLOC, 43 CCN, 566 token, 4 PARAM, 133 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1306: warning: function has 26 NLOC, 17 CCN, 175 token, 2 PARAM, 41 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1347: warning: } has 39 NLOC, 16 CCN, 223 token, 2 PARAM, 53 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1038: warning: Sizzle.setDocument has 55 NLOC, 24 CCN, 403 token, 1 PARAM, 365 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:1691: warning: } has 73 NLOC, 49 CCN, 544 token, 3 PARAM, 115 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2063: warning: Sizzle.tokenize has 48 NLOC, 16 CCN, 308 token, 2 PARAM, 66 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2249: warning: function has 60 NLOC, 28 CCN, 395 token, 4 PARAM, 84 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2396: warning: superMatcher has 67 NLOC, 36 CCN, 405 token, 5 PARAM, 102 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2543: warning: Sizzle.select has 49 NLOC, 28 CCN, 400 token, 4 PARAM, 70 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:556: warning: function has 198 NLOC, 9 CCN, 1201 token, 1 PARAM, 2124 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:2832: warning: jQuery.fn.init has 62 NLOC, 28 CCN, 421 token, 3 PARAM, 108 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4309: warning: buildFragment has 53 NLOC, 20 CCN, 395 token, 5 PARAM, 88 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4515: warning: add has 68 NLOC, 24 CCN, 484 token, 5 PARAM, 107 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4624: warning: remove has 54 NLOC, 34 CCN, 444 token, 5 PARAM, 72 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4697: warning: dispatch has 38 NLOC, 17 CCN, 321 token, 1 PARAM, 59 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4757: warning: handlers has 33 NLOC, 17 CCN, 264 token, 2 PARAM, 50 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:4830: warning: filter has 19 NLOC, 25 CCN, 184 token, 2 PARAM, 26 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:5211: warning: domManip has 54 NLOC, 21 CCN, 386 token, 4 PARAM, 89 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6014: warning: showHide has 45 NLOC, 18 CCN, 266 token, 2 PARAM, 59 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6115: warning: style has 37 NLOC, 27 CCN, 302 token, 4 PARAM, 66 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6457: warning: swing has 159 NLOC, 33 CCN, 483 token, 1 PARAM, 197 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:7139: warning: attr has 32 NLOC, 18 CCN, 234 token, 3 PARAM, 46 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:7731: warning: trigger has 89 NLOC, 52 CCN, 705 token, 4 PARAM, 134 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:8136: warning: ajaxHandleResponses has 39 NLOC, 16 CCN, 216 token, 3 PARAM, 54 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:8194: warning: ajaxConvert has 61 NLOC, 25 CCN, 383 token, 4 PARAM, 95 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:8699: warning: done has 69 NLOC, 25 CCN, 420 token, 4 PARAM, 112 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:8383: warning: ajax has 136 NLOC, 52 CCN, 981 token, 2 PARAM, 431 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.js:6747: warning: stop has 598 NLOC, 9 CCN, 1356 token, 1 PARAM, 3096 length
./django/contrib/admin/static/admin/js/vendor/xregexp/xregexp.min.js:14: warning: n.matchRecursive has 1 NLOC, 37 CCN, 579 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/xregexp/xregexp.js:22: warning: function has 102 NLOC, 3 CCN, 490 token, 1 PARAM, 1246 length
./django/contrib/admin/static/admin/js/vendor/xregexp/xregexp.js:1927: warning: XRegExp.matchRecursive has 93 NLOC, 37 CCN, 641 token, 5 PARAM, 112 length
./django/contrib/admin/static/admin/js/SelectFilter2.js:207: warning: filter_key_down has 16 NLOC, 16 CCN, 197 token, 2 PARAM, 19 length
./django/contrib/admin/options.py:330: warning: lookup_allowed has 35 NLOC, 17 CCN, 253 token, 3 PARAM, 50 length
./django/contrib/admin/options.py:1409: warning: changeform_view has 80 NLOC, 22 CCN, 653 token, 5 PARAM, 98 length
./django/contrib/admin/options.py:1515: warning: changelist_view has 125 NLOC, 32 CCN, 853 token, 3 PARAM, 166 length
./django/contrib/admin/utils.py:316: warning: label_for_field has 44 NLOC, 17 CCN, 267 token, 4 PARAM, 53 length
./django/contrib/contenttypes/management.py:89: warning: update_contenttypes has 65 NLOC, 21 CCN, 330 token, 6 PARAM, 81 length
./django/contrib/contenttypes/views.py:11: warning: shortcut has 54 NLOC, 20 CCN, 344 token, 3 PARAM, 82 length
./django/contrib/gis/geos/linestring.py:15: warning: __init__ has 47 NLOC, 16 CCN, 338 token, 3 PARAM, 76 length
./django/contrib/gis/gdal/raster/source.py:60: warning: __init__ has 46 NLOC, 19 CCN, 408 token, 3 PARAM, 72 length
./django/contrib/gis/utils/layermapping.py:165: warning: check_layer has 54 NLOC, 16 CCN, 350 token, 1 PARAM, 96 length
./django/contrib/gis/utils/layermapping.py:529: warning: _save has 49 NLOC, 17 CCN, 297 token, 3 PARAM, 71 length
./django/contrib/gis/static/gis/js/OLMapWidget.js:165: warning: MapWidget has 90 NLOC, 17 CCN, 762 token, 1 PARAM, 100 length
./django/contrib/gis/db/backends/postgis/operations.py:44: warning: check_raster has 28 NLOC, 17 CCN, 226 token, 3 PARAM, 40 length
./django/contrib/gis/db/models/query.py:485: warning: _distance_attribute has 93 NLOC, 41 CCN, 618 token, 6 PARAM, 152 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/gis/templates/gis/google/google-map.js:0: warning: *global* has 35 NLOC, 20 CCN, 1107 token, 0 PARAM, 38 length
./django/contrib/admindocs/views.py:216: warning: get_context_data has 108 NLOC, 23 CCN, 749 token, 2 PARAM, 126 length
./django/http/multipartparser.py:109: warning: parse has 123 NLOC, 33 CCN, 756 token, 1 PARAM, 186 length
./django/urls/resolvers.py:337: warning: _reverse_with_prefix has 44 NLOC, 19 CCN, 354 token, 5 PARAM, 57 length
./django/urls/base.py:30: warning: reverse has 49 NLOC, 16 CCN, 277 token, 5 PARAM, 62 length
./django/db/migrations/operations/models.py:133: warning: reduce has 76 NLOC, 24 CCN, 472 token, 4 PARAM, 79 length
./django/db/migrations/operations/models.py:275: warning: state_forwards has 54 NLOC, 21 CCN, 442 token, 3 PARAM, 65 length
./django/db/migrations/autodetector.py:230: warning: _build_migration_list has 62 NLOC, 25 CCN, 521 token, 2 PARAM, 90 length
./django/db/migrations/autodetector.py:356: warning: check_dependency has 50 NLOC, 31 CCN, 410 token, 3 PARAM, 62 length
./django/db/migrations/autodetector.py:484: warning: generate_created_models has 106 NLOC, 25 CCN, 655 token, 1 PARAM, 130 length
./django/db/migrations/autodetector.py:649: warning: generate_deleted_models has 69 NLOC, 19 CCN, 491 token, 1 PARAM, 92 length
./django/db/migrations/autodetector.py:851: warning: generate_altered_fields has 48 NLOC, 18 CCN, 384 token, 1 PARAM, 56 length
./django/db/migrations/autodetector.py:1069: warning: arrange_for_graph has 37 NLOC, 20 CCN, 262 token, 4 PARAM, 48 length
./django/db/migrations/loader.py:190: warning: build_graph has 52 NLOC, 18 CCN, 405 token, 1 PARAM, 79 length
./django/db/migrations/serializer.py:323: warning: serializer_factory has 61 NLOC, 29 CCN, 441 token, 1 PARAM, 67 length
./django/db/migrations/executor.py:24: warning: migration_plan has 31 NLOC, 16 CCN, 251 token, 3 PARAM, 41 length
./django/db/migrations/executor.py:150: warning: _migrate_all_backwards has 35 NLOC, 16 CCN, 248 token, 4 PARAM, 60 length
./django/db/migrations/executor.py:293: warning: detect_soft_applied has 47 NLOC, 19 CCN, 345 token, 3 PARAM, 78 length
./django/db/migrations/state.py:361: warning: from_model has 89 NLOC, 31 CCN, 563 token, 3 PARAM, 124 length
./django/db/backends/oracle/creation.py:33: warning: _create_test_db has 67 NLOC, 22 CCN, 403 token, 4 PARAM, 73 length
./django/db/backends/base/schema.py:130: warning: column_sql has 31 NLOC, 18 CCN, 216 token, 4 PARAM, 47 length
./django/db/backends/base/schema.py:236: warning: create_model has 48 NLOC, 18 CCN, 413 token, 2 PARAM, 68 length
./django/db/backends/base/schema.py:456: warning: alter_field has 30 NLOC, 19 CCN, 236 token, 5 PARAM, 40 length
./django/db/models/fields/related.py:1176: warning: _check_relationship_model has 170 NLOC, 31 CCN, 824 token, 3 PARAM, 198 length
./django/db/models/sql/compiler.py:133: warning: collapse_group_by has 17 NLOC, 16 CCN, 159 token, 3 PARAM, 31 length
./django/db/models/sql/compiler.py:229: warning: get_order_by has 67 NLOC, 20 CCN, 529 token, 1 PARAM, 91 length
./django/db/models/sql/compiler.py:358: warning: as_sql has 71 NLOC, 26 CCN, 565 token, 4 PARAM, 98 length
./django/db/models/sql/compiler.py:992: warning: as_sql has 38 NLOC, 16 CCN, 396 token, 1 PARAM, 53 length
./django/db/models/sql/query.py:377: warning: get_aggregation has 60 NLOC, 25 CCN, 446 token, 3 PARAM, 92 length
./django/db/models/sql/query.py:496: warning: combine has 50 NLOC, 17 CCN, 376 token, 3 PARAM, 98 length
./django/db/models/sql/query.py:595: warning: deferred_to_data has 54 NLOC, 22 CCN, 384 token, 3 PARAM, 85 length
