./django/contrib/auth/management/commands/createsuperuser.py:54: warning: handle has 96 NLOC, 26 CCN, 617 token, 3 PARAM, 122 length
./django/contrib/admin/templatetags/admin_list.py:184: warning: items_for_result has 80 NLOC, 23 CCN, 521 token, 3 PARAM, 100 length
./django/contrib/admin/templatetags/admin_list.py:330: warning: date_hierarchy has 68 NLOC, 19 CCN, 551 token, 1 PARAM, 75 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: n.fn.extend has 1 NLOC, 21 CCN, 245 token, 0 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: function has 1 NLOC, 17 CCN, 151 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: } has 1 NLOC, 16 CCN, 204 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: } has 1 NLOC, 45 CCN, 430 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: ga.tokenize has 1 NLOC, 16 CCN, 292 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: function has 1 NLOC, 28 CCN, 359 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: f has 1 NLOC, 32 CCN, 328 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:2: warning: ga.select has 1 NLOC, 27 CCN, 375 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: add has 1 NLOC, 24 CCN, 443 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: remove has 1 NLOC, 34 CCN, 412 token, 5 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: trigger has 1 NLOC, 52 CCN, 655 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: dispatch has 1 NLOC, 17 CCN, 309 token, 1 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: filter has 1 NLOC, 25 CCN, 173 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: buildFragment has 1 NLOC, 19 CCN, 350 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: domManip has 1 NLOC, 20 CCN, 351 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: Ja has 1 NLOC, 18 CCN, 234 token, 2 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: style has 1 NLOC, 23 CCN, 278 token, 4 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:3: warning: n.speed has 1 NLOC, 16 CCN, 163 token, 3 PARAM, 1 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
./django/contrib/admin/static/admin/js/vendor/jquery/jquery.min.js:0: warning: *global* has 2 NLOC, 16 CCN, 3361 token, 0 PARAM, 5 length
